Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bangladesh,Price / Bangladesh,Compare At Price / Bangladesh,Included / International,Price / International,Compare At Price / International,Status
dzr-minna,DZR Minna,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>DZR’s all-time best seller, the Minna is proudly named after the gritty S.F. alley their showroom calls home. Understated tones, locally designed graphics, and a Variable Flex Shank combine to create a sneaker that’s as classic in its style as it is comfortable mashing on pedals.</p>
<div class=""textile"">
<h3>Specs</h3>
<ul>
<li>Variable flex shank for riding performance and walking comfort</li>
<li>Full-grain leather</li>
<li>Reflective heel badge for visibility</li>
<li>Elastic lace catch</li>
<li>Natural gum rubber sole for grip</li>
<li>Link traction outsole for grip</li>
<li>Two-hole cleat compatible</li>
</ul>
</div>",DZR,,Shoes,"Accessories, Apparel, Shoes",true,Size,41,,,,,Shoes - DZR - Minna - 41,907.003303052,shopify,1000000,deny,manual,105.00,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/DZR_MINNA_PAIR_FRONT_WEB.jpg?v=1706000943,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
dzr-minna,,,,,,,,,42,,,,,Shoes - DZR - Minna - 42,907.003303052,shopify,1000000,deny,manual,105.00,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/DZR_MINNA_PAIR_BACK_WEB.jpg?v=1706000943,2,"",,,,,,,,,,,,,,,,lb,,,,,,,,,
dzr-minna,,,,,,,,,43,,,,,Shoes - DZR - Minna - 43,907.003303052,shopify,1000000,deny,manual,105.00,,true,true,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
dzr-minna,,,,,,,,,44,,,,,Shoes - DZR - Minna - 44,907.003303052,shopify,1000000,deny,manual,105.00,,true,true,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
dzr-minna,,,,,,,,,45,,,,,Shoes - DZR - Minna - 45,907.003303052,shopify,1000000,deny,manual,105.00,,true,true,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
dzr-mechanic,DZR Mechanic,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>A modern classic, the DZR Mechanic combines clipless performance with unassuming sneaker style. The perforated vegan toe cap adds a touch of class, and the ballistic nylon side panels ensure they’re rugged enough for all your rides. These shoes are a favorite here at HQ, it’s no surprise they’re worn by several of our commuters.</p>
<div class=""textile"">
<h3>Specs</h3>
<ul>
<li>Vegan</li>
<li>Variable flex shank for riding performance and walking comfort</li>
<li>Link traction outsole for grip</li>
<li>Natural gum rubber sole for grip</li>
<li>Two-hole cleat compatible</li>
</ul>
</div>",DZR,,Shoes,"Accessories, Apparel, Shoes",true,Size,41,,,,,Shoes - DZR - Mechanic - 41,907.003303052,shopify,1000000,deny,manual,99.00,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/DZR_MECHANIC_PAIR_FRONT_WEB.jpg?v=1706000940,1,"",false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
dzr-mechanic,,,,,,,,,42,,,,,Shoes - DZR - Mechanic - 42,907.003303052,shopify,999999,deny,manual,99.00,,true,true,"",https://cdn.shopify.com/s/files/1/0839/4961/7434/products/DZR_MECHANIC_PAIR_BACK_WEB.jpg?v=1706000940,2,"",,,,,,,,,,,,,,,,lb,,,,,,,,,
dzr-mechanic,,,,,,,,,43,,,,,Shoes - DZR - Mechanic - 43,907.003303052,shopify,1000000,deny,manual,99.00,,true,true,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
dzr-mechanic,,,,,,,,,44,,,,,Shoes - DZR - Mechanic - 44,907.003303052,shopify,1000000,deny,manual,99.00,,true,true,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
dzr-mechanic,,,,,,,,,45,,,,,Shoes - DZR - Mechanic - 45,907.003303052,shopify,1000000,deny,manual,99.00,,true,true,"",,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
